序号,序列号,时间戳,日期时间,电压(V),电流(A),功率(W),时段增量电量(kWh),数据标签
1,1,1782054000000,2026-06-21 15:00:00,221.35,15.24,3373.76,0.0000,charging
2,2,1782054120000,2026-06-21 15:02:00,220.36,14.98,3301.62,111.2562,charging
3,3,1782054240000,2026-06-21 15:04:00,220.68,15.41,3400.82,111.7073,charging
4,4,1782054360000,2026-06-21 15:06:00,221.79,15.65,3471.20,114.5336,charging
5,5,1782054480000,2026-06-21 15:08:00,221.85,15.04,3337.51,113.4784,charging
6,6,1782054600000,2026-06-21 15:10:00,221.77,15.97,3542.32,114.6638,charging
7,7,1782054720000,2026-06-21 15:12:00,219.28,15.44,3385.70,115.4670,charging
8,8,1782054840000,2026-06-21 15:14:00,219.91,15.41,3388.38,112.9013,charging
9,9,1782054960000,2026-06-21 15:16:00,219.44,14.53,3188.09,109.6079,charging
10,10,1782055080000,2026-06-21 15:18:00,218.39,14.20,3101.34,104.8239,charging
11,11,1782055200000,2026-06-21 15:20:00,218.03,15.01,3271.60,106.2157,charging
12,12,1782055320000,2026-06-21 15:22:00,218.99,14.42,3158.96,107.1760,charging
13,13,1782055440000,2026-06-21 15:24:00,218.73,15.74,3443.54,110.0416,charging
14,14,1782055560000,2026-06-21 15:26:00,220.24,14.84,3269.22,111.8794,charging
15,15,1782055680000,2026-06-21 15:28:00,219.52,15.68,3442.80,111.8671,charging
16,16,1782055800000,2026-06-21 15:30:00,220.75,14.49,3197.72,110.6755,charging
17,17,1782055920000,2026-06-21 15:32:00,218.10,15.09,3290.36,108.1346,charging
18,18,1782056040000,2026-06-21 15:34:00,219.33,14.28,3131.16,107.0252,charging
19,19,1782056160000,2026-06-21 15:36:00,220.47,15.98,3522.61,110.8962,charging
20,20,1782056280000,2026-06-21 15:38:00,219.51,14.93,3276.41,113.3170,charging
