序号,序列号,时间戳,日期时间,电压(V),电流(A),功率(W),时段增量电量(kWh),数据标签
1,1,1782043200000,2026-06-21 12:00:00,220.28,10.74,2366.44,0.0000,charging
2,2,1782043320000,2026-06-21 12:02:00,219.18,10.75,2356.46,78.7150,charging
3,3,1782043440000,2026-06-21 12:04:00,219.15,9.19,2014.88,72.8558,charging
4,4,1782043560000,2026-06-21 12:06:00,218.81,10.95,2395.99,73.5146,charging
5,5,1782043680000,2026-06-21 12:08:00,219.37,9.58,2102.12,74.9685,charging
6,6,1782043800000,2026-06-21 12:10:00,220.45,10.52,2319.01,73.6854,charging
7,7,1782043920000,2026-06-21 12:12:00,219.57,10.17,2232.56,75.8594,charging
8,8,1782044040000,2026-06-21 12:14:00,220.17,9.72,2139.49,72.8674,charging
9,9,1782044160000,2026-06-21 12:16:00,218.95,10.87,2379.12,75.3102,charging
10,10,1782044280000,2026-06-21 12:18:00,221.62,9.32,2065.73,74.0808,charging
11,11,1782044400000,2026-06-21 12:20:00,220.22,9.05,1992.42,67.6358,charging
12,12,1782044520000,2026-06-21 12:22:00,219.90,9.61,2112.31,68.4121,charging
13,13,1782044640000,2026-06-21 12:24:00,220.29,10.72,2362.47,74.5796,charging
14,14,1782044760000,2026-06-21 12:26:00,220.36,10.23,2254.39,76.9476,charging
15,15,1782044880000,2026-06-21 12:28:00,220.52,10.26,2263.38,75.2961,charging
