序号,序列号,时间戳,日期时间,电压(V),电流(A),功率(W),时段增量电量(kWh),数据标签
1,1,1782021600000,2026-06-21 06:00:00,380.97,49.33,18791.75,0.0000,charging
2,2,1782021720000,2026-06-21 06:02:00,378.36,49.08,18570.53,622.7046,charging
3,3,1782021840000,2026-06-21 06:04:00,380.16,49.57,18844.56,623.5849,charging
4,4,1782021960000,2026-06-21 06:06:00,378.86,50.74,19221.61,634.4363,charging
5,5,1782022080000,2026-06-21 06:08:00,379.52,49.74,18875.76,634.9563,charging
6,6,1782022200000,2026-06-21 06:10:00,380.69,50.61,19268.37,635.7356,charging
7,7,1782022320000,2026-06-21 06:12:00,381.44,50.67,19326.53,643.2484,charging
8,8,1782022440000,2026-06-21 06:14:00,379.59,49.64,18841.64,636.1362,charging
9,9,1782022560000,2026-06-21 06:16:00,381.66,49.72,18977.22,630.3144,charging
10,10,1782022680000,2026-06-21 06:18:00,378.62,50.19,19001.66,632.9812,charging
11,11,1782022800000,2026-06-21 06:20:00,380.79,49.01,18663.06,627.7453,charging
12,12,1782022920000,2026-06-21 06:22:00,378.74,49.47,18735.12,623.3031,charging
13,13,1782023040000,2026-06-21 06:24:00,378.01,49.92,18869.50,626.7437,charging
14,14,1782023160000,2026-06-21 06:26:00,381.68,49.99,19082.08,632.5263,charging
15,15,1782023280000,2026-06-21 06:28:00,378.42,49.91,18887.49,632.8262,charging
16,16,1782023400000,2026-06-21 06:30:00,381.72,50.10,19122.80,633.5049,charging
17,17,1782023520000,2026-06-21 06:32:00,378.41,49.61,18773.09,631.5981,charging
18,18,1782023640000,2026-06-21 06:34:00,381.31,49.22,18768.05,625.6856,charging
19,19,1782023760000,2026-06-21 06:36:00,380.97,50.93,19401.86,636.1652,charging
20,20,1782023880000,2026-06-21 06:38:00,381.18,50.22,19143.52,642.4229,charging
21,21,1782024000000,2026-06-21 06:40:00,381.78,49.50,18899.93,634.0575,charging
22,22,1782024120000,2026-06-21 06:42:00,379.98,49.00,18620.62,625.3426,charging
23,23,1782024240000,2026-06-21 06:44:00,378.61,49.46,18725.99,622.4435,charging
24,24,1782024360000,2026-06-21 06:46:00,380.52,49.84,18965.58,628.1927,charging
25,25,1782024480000,2026-06-21 06:48:00,378.79,49.58,18782.11,629.1281,charging
26,26,1782024600000,2026-06-21 06:50:00,379.91,50.11,19037.02,630.3189,charging
27,27,1782024720000,2026-06-21 06:52:00,378.44,50.37,19062.82,634.9973,charging
28,28,1782024840000,2026-06-21 06:54:00,379.75,49.96,18971.92,633.9123,charging
29,29,1782024960000,2026-06-21 06:56:00,378.49,50.33,19048.43,633.6725,charging
30,30,1782025080000,2026-06-21 06:58:00,378.06,49.87,18855.29,631.7288,charging
31,31,1782025200000,2026-06-21 07:00:00,380.88,49.78,18959.85,630.2523,charging
32,32,1782025320000,2026-06-21 07:02:00,379.20,50.35,19094.26,634.2351,charging
33,33,1782025440000,2026-06-21 07:04:00,381.89,49.66,18965.33,634.3264,charging
34,34,1782025560000,2026-06-21 07:06:00,378.58,49.98,18921.17,631.4416,charging
35,35,1782025680000,2026-06-21 07:08:00,381.50,50.36,19210.90,635.5344,charging
